,track_id, type, traveled_d, avg_speed
195,196, Motorcycle, 481.59, 33.469879
196,197, Car, 235.61, 31.648758
197,198, Bus, 140.38, 15.502507
198,199, Car, 211.82, 13.377930
199,200, Motorcycle, 352.16, 15.092596
200,201, Car, 487.56, 30.578418
201,202, Car, 481.52, 34.808553
202,203, Motorcycle, 175.75, 10.406261
203,204, Taxi, 104.80, 19.856184
204,205, Motorcycle, 349.92, 14.996362
205,206, Motorcycle, 28.03, 9.891223
206,207, Motorcycle, 214.00, 14.058110
207,208, Motorcycle, 480.74, 48.073660
208,209, Motorcycle, 194.49, 12.918358
209,210, Motorcycle, 215.19, 14.136310
210,211, Car, 28.34, 3.750962
211,212, Motorcycle, 357.91, 15.790244
212,213, Car, 227.98, 24.572722
213,214, Taxi, 92.83, 22.279832
214,215, Car, 482.92, 20.309717
215,216, Medium Vehicle, 236.59, 11.090101
216,217, Car, 482.70, 37.776566
217,218, Car, 18.62, 0.096770
218,219, Taxi, 222.67, 14.627971
219,220, Motorcycle, 481.21, 50.951537
220,221, Motorcycle, 480.96, 40.079767
221,222, Medium Vehicle, 105.52, 19.185478
222,223, Heavy Vehicle, 481.74, 2.507635
223,224, Car, 223.58, 14.581484
224,225, Taxi, 480.33, 24.083196
225,226, Motorcycle, 149.79, 36.435828
226,227, Car, 235.43, 32.598103
227,228, Car, 197.28, 18.210205
228,229, Motorcycle, 55.36, 19.162203
229,230, Motorcycle, 433.83, 20.282799
230,231, Car, 347.72, 14.937735
231,232, Car, 481.27, 21.284879
232,233, Car, 480.66, 20.214535
233,234, Car, 461.87, 3.843576
234,235, Car, 102.44, 20.043382
235,236, Car, 482.49, 20.244247
236,237, Car, 211.29, 13.779575
237,238, Motorcycle, 343.75, 13.749898
238,239, Motorcycle, 488.19, 42.657813
239,240, Car, 360.16, 15.435314
240,241, Car, 28.53, 14.266360
241,242, Taxi, 480.45, 19.654934
242,243, Car, 27.04, 15.701965
243,244, Car, 19.14, 0.101884
244,245, Medium Vehicle, 256.94, 11.171377
245,246, Car, 172.40, 19.155583
246,247, Motorcycle, 51.08, 28.732618
247,248, Motorcycle, 481.24, 40.860291
248,249, Car, 53.34, 21.820931
249,250, Motorcycle, 125.41, 15.252951
250,251, Taxi, 458.55, 37.517679
251,252, Motorcycle, 37.54, 12.993423
252,253, Motorcycle, 454.48, 42.386647
253,254, Motorcycle, 453.86, 41.681178
254,255, Car, 480.96, 31.254021
255,256, Heavy Vehicle, 482.50, 28.569004
256,257, Car, 454.28, 38.938630
257,258, Taxi, 454.22, 33.101076
258,259, Motorcycle, 489.69, 36.574610
259,260, Car, 52.24, 28.496744
260,261, Heavy Vehicle, 95.09, 12.313680
261,262, Car, 483.21, 28.331305
262,263, Taxi, 457.62, 33.214697
263,264, Car, 460.09, 32.604466
264,265, Car, 485.63, 34.965644
265,266, Car, 463.06, 31.813042
266,267, Motorcycle, 199.78, 22.061939
267,268, Taxi, 102.89, 26.458017
268,269, Car, 478.59, 37.454760
269,270, Car, 481.36, 23.544831
270,271, Motorcycle, 485.61, 40.655540
271,272, Car, 284.07, 15.448051
272,273, Car, 210.50, 16.261862
273,274, Motorcycle, 100.78, 14.511744
274,275, Car, 482.48, 40.393771
275,276, Motorcycle, 452.49, 26.021697
276,277, Car, 198.64, 23.997212
277,278, Motorcycle, 87.37, 18.287492
278,279, Motorcycle, 55.07, 13.216367
279,280, Taxi, 199.60, 26.613805
280,281, Motorcycle, 46.91, 3.377796
281,282, Car, 401.47, 21.766252
282,283, Car, 216.92, 14.789770
283,284, Motorcycle, 120.73, 18.574441
284,285, Medium Vehicle, 492.00, 40.624114
285,286, Motorcycle, 458.01, 40.812929
286,287, Car, 55.18, 23.098429
287,288, Motorcycle, 463.81, 47.980070
288,289, Car, 442.47, 16.320539
289,290, Motorcycle, 481.77, 44.244042
290,291, Motorcycle, 323.78, 15.098643
291,292, Medium Vehicle, 204.48, 1.547778
292,293, Car, 211.40, 14.305373
293,294, Motorcycle, 349.99, 16.622103
294,295, Motorcycle, 236.55, 27.648121
295,296, Car, 483.77, 44.886011
296,297, Bus, 483.74, 36.585703
297,298, Car, 492.89, 45.968721
298,299, Motorcycle, 489.51, 38.477074
299,300, Motorcycle, 220.69, 32.295659
300,301, Car, 459.86, 36.145951
301,302, Taxi, 265.83, 15.485314
302,303, Car, 458.12, 21.700224
303,304, Car, 483.40, 47.808474
304,305, Car, 131.95, 8.105998
305,306, Car, 384.61, 25.174583
306,307, Car, 349.78, 17.835916
307,308, Taxi, 208.41, 16.169694
308,309, Taxi, 483.03, 42.002383
309,310, Car, 482.64, 45.966073
310,311, Taxi, 100.27, 24.390691
311,312, Heavy Vehicle, 265.03, 16.856961
312,313, Taxi, 207.24, 15.225623
313,314, Taxi, 347.30, 20.100852
314,315, Car, 215.01, 10.131479
315,316, Car, 217.01, 10.015645
316,317, Car, 263.70, 20.548116
317,318, Taxi, 346.55, 21.659506
318,319, Car, 356.96, 22.310157
319,320, Car, 363.46, 11.916745
320,321, Car, 193.89, 4.096298
321,322, Car, 326.69, 23.242532
322,323, Car, 349.45, 13.763758
323,324, Motorcycle, 457.44, 39.586283
324,325, Taxi, 67.43, 11.559601
325,326, Car, 212.27, 11.337956
326,327, Motorcycle, 170.33, 21.440484
327,328, Car, 51.28, 20.980018
328,329, Car, 479.19, 35.939434
329,330, Car, 478.83, 37.968607
330,331, Motorcycle, 207.14, 13.221623
331,332, Taxi, 94.01, 8.767701
332,333, Car, 479.90, 40.365426
333,334, Taxi, 329.42, 19.765440
334,335, Car, 208.84, 16.415616
335,336, Taxi, 492.08, 14.059326
336,337, Motorcycle, 120.68, 20.493342
337,338, Car, 53.81, 18.627579
338,339, Motorcycle, 188.12, 38.479078
339,340, Car, 488.55, 43.969327
340,341, Car, 457.02, 38.987601
341,342, Motorcycle, 101.16, 11.239993
342,343, Heavy Vehicle, 107.83, 9.608311
343,344, Car, 480.96, 42.646800
344,345, Taxi, 461.31, 18.051135
345,346, Car, 236.59, 12.904835
346,347, Motorcycle, 481.93, 41.307960
347,348, Car, 206.16, 17.755169
348,349, Medium Vehicle, 492.71, 21.898100
349,350, Motorcycle, 484.74, 38.951969
350,351, Heavy Vehicle, 482.14, 41.326605
351,352, Taxi, 481.49, 45.614878
352,353, Taxi, 482.03, 44.955871
353,354, Car, 104.21, 13.592362
354,355, Car, 485.00, 21.555590
355,356, Car, 205.92, 17.081275
356,357, Car, 487.20, 40.789075
357,358, Motorcycle, 238.55, 31.806234
358,359, Car, 39.97, 17.986944
359,360, Car, 220.78, 21.716209
360,361, Car, 103.84, 10.680992
361,362, Car, 218.51, 21.611084
362,363, Motorcycle, 52.29, 16.513871
363,364, Car, 492.31, 31.093496
364,365, Motorcycle, 484.62, 42.552107
365,366, Car, 485.66, 38.852707
366,367, Taxi, 484.20, 33.781048
367,368, Car, 484.27, 33.526468
368,369, Car, 206.02, 15.074479
369,370, Motorcycle, 482.62, 39.667194
370,371, Taxi, 483.46, 39.199280
371,372, Car, 466.35, 3.239765
372,373, Motorcycle, 482.39, 47.709112
373,374, Bus, 483.19, 31.512699
374,375, Car, 483.91, 36.293412
375,376, Motorcycle, 346.77, 15.450356
376,377, Motorcycle, 260.28, 1.815930
377,378, Car, 479.87, 35.990351
378,379, Car, 461.98, 36.958234
379,380, Car, 103.51, 20.034155
380,381, Motorcycle, 345.31, 15.656261
381,382, Car, 494.17, 32.944486
382,383, Taxi, 348.26, 15.910315
383,384, Car, 490.56, 30.982883
384,385, Car, 482.03, 8.239751
385,386, Car, 489.76, 33.141941
386,387, Car, 365.05, 16.509660
387,388, Car, 481.88, 36.909640
388,389, Car, 30.65, 15.763784
389,390, Car, 236.18, 26.081439
390,391, Taxi, 214.77, 14.533558
391,392, Motorcycle, 482.09, 22.835654
392,393, Car, 358.48, 16.760204
393,394, Motorcycle, 340.75, 25.989722
394,395, Taxi, 234.10, 16.207206
395,396, Taxi, 402.13, 11.118758
396,397, Car, 339.26, 2.414630
397,398, Medium Vehicle, 339.31, 15.700556
398,399, Car, 100.71, 23.240992
399,400, Medium Vehicle, 482.63, 22.447870
400,401, Taxi, 480.35, 24.017491
401,402, Car, 483.35, 23.450928
402,403, Car, 37.69, 18.335013
403,404, Taxi, 362.10, 15.781568
404,405, Car, 219.77, 16.620955
405,406, Taxi, 349.08, 18.372385
406,407, Motorcycle, 349.75, 21.340870
407,408, Car, 348.78, 18.796528
408,409, Taxi, 217.08, 17.444095
409,410, Car, 281.85, 21.138703
410,411, Car, 347.29, 12.731779
411,412, Motorcycle, 211.41, 20.794684
412,413, Car, 349.29, 12.752963
413,414, Car, 73.00, 0.538726
414,415, Car, 351.28, 13.283761
415,416, Car, 200.19, 13.546905
416,417, Motorcycle, 213.55, 25.971998
417,418, Motorcycle, 27.54, 6.196385
418,419, Car, 199.57, 13.403654
419,420, Taxi, 212.24, 12.567053
420,421, Car, 450.31, 15.831182
421,422, Taxi, 480.99, 35.924575
422,423, Car, 212.58, 12.670279
423,424, Car, 70.87, 5.933470
424,425, Taxi, 236.16, 25.302344
425,426, Car, 51.60, 26.535419
426,427, Bus, 480.81, 34.618444
427,428, Taxi, 481.99, 37.557463
428,429, Car, 26.14, 7.841723
429,430, Car, 236.83, 25.374639
430,431, Motorcycle, 450.58, 52.665779
431,432, Motorcycle, 377.92, 17.622992
432,433, Car, 385.41, 8.388620
433,434, Taxi, 349.18, 16.198915
434,435, Car, 482.18, 39.813426
435,436, Car, 38.07, 5.271760
436,437, Taxi, 489.49, 35.671449
437,438, Bus, 483.42, 20.619698
438,439, Car, 457.22, 41.565678
439,440, Car, 26.55, 5.139627
440,441, Car, 211.74, 14.115925
441,442, Motorcycle, 239.79, 3.676478
442,443, Car, 16.37, 1.592943
443,444, Car, 479.89, 38.391411
444,445, Taxi, 236.28, 13.853289
445,446, Car, 480.83, 20.905849
446,447, Bus, 485.39, 13.934590
447,448, Car, 51.56, 4.885052
448,449, Motorcycle, 489.40, 24.334987
449,450, Motorcycle, 480.40, 22.815806
450,451, Car, 480.73, 24.103561
451,452, Car, 216.67, 16.115796
452,453, Car, 215.12, 15.677031
453,454, Motorcycle, 98.53, 12.489620
454,455, Motorcycle, 15.32, 11.030850
455,456, Car, 198.39, 13.128881
456,457, Motorcycle, 479.35, 43.577235
457,458, Motorcycle, 451.36, 46.425151
458,459, Taxi, 479.83, 32.715360
459,460, Car, 231.36, 20.615891
460,461, Car, 482.67, 31.708074
461,462, Car, 214.14, 13.965788
462,463, Motorcycle, 234.73, 29.340905
463,464, Motorcycle, 356.46, 37.303957
464,465, Motorcycle, 345.88, 15.963514
465,466, Car, 480.05, 38.065685
466,467, Motorcycle, 451.27, 34.712698
467,468, Motorcycle, 315.74, 14.995755
468,469, Car, 454.29, 38.939188
469,470, Motorcycle, 457.22, 21.376444
470,471, Car, 455.45, 41.196239
471,472, Motorcycle, 480.92, 34.351639
472,473, Taxi, 348.21, 16.030211
473,474, Motorcycle, 323.10, 6.858319
474,475, Car, 198.01, 17.218624
475,476, Car, 187.05, 32.066536
476,477, Car, 26.02, 8.362233
477,478, Motorcycle, 236.83, 15.224633
478,479, Car, 50.04, 26.489171
479,480, Car, 235.99, 28.701592
480,481, Car, 42.25, 1.508858
481,482, Bus, 472.05, 20.928295
482,483, Car, 217.45, 14.826217
483,484, Car, 480.25, 48.024793
484,485, Car, 50.66, 30.395103
485,486, Car, 477.39, 15.181886
486,487, Car, 102.42, 23.337127
487,488, Car, 29.18, 2.626536
488,489, Car, 210.25, 14.725631
489,490, Car, 354.72, 17.303482
490,491, Car, 102.38, 23.327531
491,492, Motorcycle, 320.49, 20.170830
492,493, Car, 103.80, 21.231672
493,494, Car, 349.46, 18.889596
494,495, Motorcycle, 346.77, 21.824571
495,496, Taxi, 348.42, 20.362389
496,497, Car, 403.41, 13.348139
497,498, Taxi, 347.41, 20.914360
498,499, Motorcycle, 180.08, 12.515067
499,500, Car, 352.38, 19.337693
500,501, Motorcycle, 355.19, 23.679402
501,502, Medium Vehicle, 348.15, 20.479386
502,503, Motorcycle, 352.06, 27.673199
503,504, Motorcycle, 355.96, 13.129651
504,505, Medium Vehicle, 354.57, 12.514108
505,506, Motorcycle, 259.87, 23.744591
506,507, Car, 267.65, 12.745447
507,508, Car, 347.69, 13.938740
508,509, Car, 353.11, 14.031007
509,510, Motorcycle, 272.98, 13.880205
510,511, Motorcycle, 451.41, 24.254944
511,512, Taxi, 283.99, 11.644441
512,513, Car, 50.83, 21.276430
513,514, Car, 237.13, 36.172099
514,515, Motorcycle, 449.98, 50.941071
515,516, Car, 236.18, 22.733535
516,517, Heavy Vehicle, 105.20, 11.476375
517,518, Car, 228.28, 18.343991
518,519, Taxi, 324.47, 13.677710
519,520, Taxi, 480.97, 17.177535
520,521, Motorcycle, 75.20, 26.540541
521,522, Motorcycle, 480.10, 37.410754
522,523, Motorcycle, 153.81, 22.148201
523,524, Taxi, 402.36, 14.963616
524,525, Motorcycle, 482.25, 41.139731
525,526, Bus, 105.16, 19.120586
526,527, Car, 480.45, 36.184693
527,528, Taxi, 454.66, 20.771434
528,529, Motorcycle, 449.94, 38.202713
529,530, Bus, 480.58, 12.815457
530,531, Car, 79.19, 19.797065
531,532, Car, 448.32, 25.456522
532,533, Car, 81.76, 19.364483
533,534, Motorcycle, 293.18, 14.035320
534,535, Car, 174.30, 10.818890
535,536, Car, 49.77, 27.997382
536,537, Taxi, 191.59, 7.891639
537,538, Taxi, 209.47, 13.661284
538,539, Taxi, 478.35, 43.267447
539,540, Car, 480.08, 42.360287
540,541, Taxi, 381.53, 13.106053
541,542, Taxi, 461.85, 42.414913
542,543, Car, 195.15, 7.474018
543,544, Motorcycle, 485.39, 43.252482
544,545, Car, 263.98, 16.052587
545,546, Car, 479.89, 41.330339
546,547, Taxi, 487.43, 22.044473
547,548, Car, 164.42, 11.791406
548,549, Car, 479.69, 21.008522
549,550, Taxi, 479.56, 24.044808
550,551, Car, 196.89, 7.588916
551,552, Car, 197.20, 7.766998
552,553, Motorcycle, 183.60, 7.527939
553,554, Taxi, 198.44, 7.867491
554,555, Car, 266.16, 12.347408
555,556, Motorcycle, 61.56, 13.036890
556,557, Motorcycle, 99.14, 10.315424
557,558, Taxi, 480.54, 36.651065
558,559, Car, 207.71, 2.194156
559,560, Car, 481.55, 31.405439
560,561, Car, 486.42, 28.706476
561,562, Taxi, 476.61, 34.592451
562,563, Motorcycle, 352.14, 15.926021
563,564, Motorcycle, 37.55, 16.898717
564,565, Car, 105.72, 25.039229
565,566, Car, 360.22, 17.667590
566,567, Heavy Vehicle, 169.23, 1.806677
567,568, Motorcycle, 356.54, 15.925032
568,569, Bus, 482.91, 21.785601
569,570, Motorcycle, 350.65, 15.779120
570,571, Motorcycle, 333.41, 15.628591
571,572, Motorcycle, 489.77, 18.999570
572,573, Motorcycle, 42.23, 13.574866
573,574, Taxi, 480.49, 38.100850
574,575, Motorcycle, 481.03, 35.927580
575,576, Car, 355.03, 14.896251
576,577, Car, 482.96, 35.195143
577,578, Car, 238.39, 16.377774
578,579, Car, 481.40, 21.882001
579,580, Motorcycle, 236.50, 21.074682
580,581, Car, 489.24, 19.397315
581,582, Car, 236.26, 20.251208
582,583, Car, 385.67, 13.248270
583,584, Motorcycle, 352.72, 15.872240
584,585, Taxi, 481.84, 18.651759
585,586, Taxi, 335.99, 8.494007
586,587, Car, 481.30, 34.653336
587,588, Taxi, 347.73, 15.009768
588,589, Car, 236.86, 13.709184
589,590, Car, 263.94, 14.663518
590,591, Car, 53.73, 23.028033
591,592, Car, 483.29, 19.374484
592,593, Car, 350.15, 15.485697
593,594, Car, 70.15, 19.730943
594,595, Car, 484.16, 19.409573
595,596, Car, 204.61, 9.516698
596,597, Taxi, 346.74, 17.193810
597,598, Taxi, 203.66, 11.279798
598,599, Car, 349.56, 16.092279
599,600, Motorcycle, 200.15, 9.531054
600,601, Taxi, 265.07, 10.843793
601,602, Car, 204.50, 11.396316
602,603, Taxi, 352.00, 19.799920
603,604, Car, 346.94, 12.196989
604,605, Car, 345.36, 11.663273
605,606, Taxi, 354.62, 19.168692
606,607, Motorcycle, 285.87, 11.460115
607,608, Car, 358.53, 23.813590
